budget,usecase,cpu_brand_pref,gpu_brand_pref,cpu_id,gpu_id,mobo_id,ram_id,ssd_id,psu_id,case_id,cooler_id,total_price,quality_score
184893,AI-ML,Intel,NVIDIA,14,22,43,50,139,195,305,153,169000.0,0
298933,AI-ML,Intel,NVIDIA,94,167,46,50,60,65,204,76,298400.0,0
248960,Gaming,AMD,NVIDIA,88,167,225,52,139,181,314,155,227400.0,0
75774,Gaming,AMD,NVIDIA,160,20,293,48,177,141,77,0,81499.0,0
180329,Editing,Intel,,12,165,43,50,139,195,281,153,179700.0,0
177818,AI-ML,,AMD,327,169,35,50,139,195,313,0,177499.0,0
249428,AI-ML,AMD,NVIDIA,7,167,225,244,139,181,79,155,231000.0,0
33070,General Use,Intel,AMD,93,0,43,130,136,300,77,287,50280.0,0
180749,General Use,AMD,AMD,325,0,225,51,139,62,313,73,92100.0,0
41463,General Use,Intel,NVIDIA,93,0,43,48,177,300,77,287,53780.0,0
115405,Editing,,AMD,325,116,225,52,57,62,77,286,129380.0,0
52601,Editing,,,93,27,43,131,178,300,77,287,89280.0,0
650115,Editing,Intel,NVIDIA,102,115,128,135,140,146,211,283,647300.0,0
298236,Gaming,AMD,,91,167,225,244,60,65,80,76,298200.0,0
184201,Gaming,,NVIDIA,7,166,225,51,178,195,79,153,184000.0,0
145099,Editing,AMD,NVIDIA,325,105,225,52,139,142,305,153,146900.0,0
652238,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
183055,Editing,Intel,NVIDIA,12,165,43,50,139,195,281,75,183000.0,0
503928,Editing,Intel,AMD,102,169,128,135,140,146,212,283,502300.0,0
38457,General Use,AMD,,160,0,293,48,177,300,77,0,49999.0,0
247505,Editing,Intel,AMD,94,169,43,50,59,181,204,155,247400.0,0
296534,AI-ML,,AMD,91,169,225,244,60,65,205,156,296500.0,0
222247,Editing,AMD,AMD,86,120,225,244,59,195,203,155,217800.0,0
504156,General Use,AMD,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
223536,AI-ML,Intel,NVIDIA,13,167,43,50,139,195,281,76,223300.0,0
151058,Editing,Intel,,14,105,43,50,139,195,68,153,139000.0,0
245824,Editing,,AMD,86,120,225,244,59,181,314,155,226200.0,0
295646,Editing,AMD,NVIDIA,10,166,225,244,60,65,148,76,279000.0,0
298368,AI-ML,,NVIDIA,91,167,225,244,60,65,69,156,298200.0,0
44155,Gaming,AMD,NVIDIA,160,18,293,48,177,300,77,0,72499.0,0
398013,Editing,,NVIDIA,99,167,46,54,60,65,81,156,371500.0,0
220779,Gaming,Intel,AMD,12,169,43,50,57,195,203,155,204500.0,0
56389,General Use,Intel,NVIDIA,95,0,43,49,56,300,77,287,58780.0,0
66362,AI-ML,,AMD,93,117,43,131,178,300,77,72,120200.0,0
50834,Editing,Intel,AMD,93,27,43,131,178,300,77,287,89280.0,0
402670,Gaming,Intel,AMD,94,33,46,244,59,65,70,156,391300.0,0
181208,Editing,AMD,NVIDIA,88,21,225,53,139,195,313,153,170900.0,0
400837,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
300207,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
304301,Gaming,AMD,NVIDIA,91,167,225,54,139,65,209,76,304200.0,0
31296,General Use,,NVIDIA,93,0,43,130,136,300,77,287,50280.0,0
218425,Gaming,Intel,,12,167,43,50,57,195,203,75,208300.0,0
33316,AI-ML,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
181982,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
35181,General Use,Intel,,93,0,43,130,177,300,77,287,51780.0,0
62696,Editing,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
497672,Gaming,,,99,121,46,244,60,146,214,156,485300.0,0
34681,General Use,,NVIDIA,93,0,43,130,177,300,77,287,51780.0,0
60849,AI-ML,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
44077,AI-ML,AMD,,160,20,293,131,178,300,77,0,88499.0,0
145011,Editing,Intel,,14,105,43,50,139,142,305,153,137500.0,0
179260,AI-ML,AMD,NVIDIA,327,23,35,50,139,195,281,0,178799.0,0
25583,AI-ML,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
217305,AI-ML,AMD,AMD,325,169,225,244,139,195,313,75,207500.0,0
40601,Gaming,AMD,NVIDIA,160,18,293,48,177,300,77,0,72499.0,0
499024,Editing,Intel,AMD,102,169,128,135,262,146,214,156,452800.0,0
34298,Gaming,,AMD,93,27,43,48,177,300,77,287,80780.0,0
399185,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
57565,Gaming,,NVIDIA,93,18,43,48,177,300,77,287,76280.0,0
27975,Editing,Intel,,93,27,43,131,178,300,77,287,89280.0,0
95886,AI-ML,,AMD,93,117,43,131,178,61,77,73,124200.0,0
102870,Gaming,AMD,,1,105,293,49,177,62,77,0,100499.0,0
32509,Editing,Intel,AMD,93,27,43,131,178,300,77,287,89280.0,0
179900,Gaming,,NVIDIA,325,166,225,51,178,195,313,153,174200.0,0
179999,AI-ML,,,327,169,35,50,139,195,69,0,179999.0,0
148551,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
57243,Editing,AMD,,160,27,293,131,178,300,77,0,85499.0,0
300288,Editing,,,91,166,225,244,60,65,307,76,281500.0,0
153929,Editing,AMD,,88,105,225,52,139,195,68,153,158900.0,0
182387,Gaming,,AMD,325,30,225,51,57,195,281,153,182200.0,0
59971,Gaming,Intel,AMD,93,27,43,48,177,300,77,287,80780.0,0
246621,Editing,AMD,NVIDIA,86,165,225,244,59,181,314,155,230200.0,0
249438,Gaming,Intel,NVIDIA,13,167,43,50,139,181,314,155,229000.0,0
216423,AI-ML,AMD,,325,167,225,244,139,195,68,75,212000.0,0
81289,Editing,AMD,AMD,1,27,293,131,178,180,77,0,89999.0,0
115898,Editing,Intel,AMD,14,116,43,50,57,62,77,286,119980.0,0
500285,Editing,,AMD,164,169,40,135,140,146,214,158,499000.0,0
32750,AI-ML,,,93,20,43,131,178,300,77,287,92280.0,0
252972,AI-ML,Intel,AMD,94,169,43,50,60,181,203,155,252600.0,0
118323,Gaming,AMD,,2,29,183,243,56,62,77,0,116600.0,0
177981,Gaming,,AMD,88,120,225,52,178,195,281,153,177700.0,0
216685,Editing,AMD,,86,107,225,244,59,195,203,75,217600.0,0
123534,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
246669,Editing,Intel,,97,167,43,50,59,181,314,76,245500.0,0
95153,Editing,AMD,NVIDIA,2,20,293,131,178,61,77,0,97000.0,0
65667,AI-ML,,AMD,93,117,43,131,178,300,77,72,120200.0,0
149217,AI-ML,,,11,120,43,50,57,142,77,153,150999.0,0
51410,Gaming,AMD,AMD,160,27,293,48,177,300,77,0,76999.0,0
149717,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
97864,AI-ML,AMD,,160,20,293,131,178,61,77,0,91499.0,0
150873,Gaming,AMD,,325,107,225,51,178,195,68,153,158900.0,0
96035,Gaming,,AMD,160,28,293,49,177,61,77,0,90999.0,0
654342,Gaming,Intel,,102,115,128,135,60,146,151,158,598000.0,0
64332,AI-ML,AMD,,160,20,293,131,178,300,77,0,88499.0,0
147857,General Use,,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
27037,AI-ML,Intel,,93,20,43,131,178,300,77,287,92280.0,0
249854,AI-ML,,NVIDIA,7,167,225,244,139,181,79,155,231000.0,0
399952,AI-ML,,AMD,86,33,40,54,60,65,148,156,403000.0,0
501738,Editing,,AMD,164,169,40,135,140,146,330,158,500500.0,0
219202,Editing,AMD,,86,107,225,244,59,195,203,75,217600.0,0
146598,AI-ML,,NVIDIA,13,20,43,50,139,142,306,153,146500.0,0
77802,Gaming,Intel,AMD,93,116,43,48,177,141,77,289,91800.0,0
147591,Editing,,AMD,7,28,225,52,139,142,305,153,149900.0,0
183583,AI-ML,,AMD,325,120,225,53,139,195,305,153,173400.0,0
98718,Editing,AMD,NVIDIA,2,20,293,131,178,61,77,0,97000.0,0
55655,AI-ML,AMD,AMD,160,117,293,131,178,300,77,0,113499.0,0
148711,Gaming,Intel,NVIDIA,14,107,43,243,56,142,305,153,149800.0,0
60288,AI-ML,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
32436,General Use,,NVIDIA,93,0,43,130,136,300,77,287,50280.0,0
33677,Editing,,,93,27,43,131,178,300,77,287,89280.0,0
77931,AI-ML,Intel,,93,20,43,131,178,141,77,289,97300.0,0
646092,Gaming,AMD,AMD,164,121,40,135,140,146,151,283,645800.0,0
53127,Editing,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
224960,Gaming,AMD,NVIDIA,88,167,225,52,57,195,203,155,216500.0,0
177706,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
123833,General Use,Intel,NVIDIA,14,0,43,50,139,62,313,73,90200.0,0
56493,Editing,,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
79090,Editing,Intel,NVIDIA,95,20,43,131,178,141,77,289,98800.0,0
180598,Gaming,Intel,NVIDIA,14,166,43,50,178,195,313,153,172300.0,0
304292,AI-ML,Intel,,17,167,232,50,59,65,69,76,304200.0,0
180170,Gaming,AMD,AMD,325,30,225,51,178,195,281,153,179700.0,0
44075,AI-ML,AMD,,160,20,293,131,178,300,77,0,88499.0,0
102920,General Use,Intel,NVIDIA,14,0,43,50,139,62,313,73,90200.0,0
101212,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
83256,AI-ML,Intel,NVIDIA,93,20,43,131,178,180,77,215,98500.0,0
59113,Editing,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
222340,Gaming,AMD,AMD,88,169,225,52,57,195,203,155,211500.0,0
37260,General Use,Intel,,93,0,43,48,177,300,77,287,53780.0,0
183845,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
645716,AI-ML,,,99,115,319,135,140,146,212,159,642300.0,0
118909,AI-ML,,,14,20,43,50,57,62,78,153,118700.0,0
56536,Gaming,Intel,,93,18,43,48,177,300,77,287,76280.0,0
223029,Gaming,Intel,NVIDIA,12,167,43,50,57,195,203,155,209500.0,0
31861,General Use,,,93,0,43,130,136,300,77,287,50280.0,0
648879,Editing,,NVIDIA,92,115,125,135,140,146,211,158,646500.0,0
53994,AI-ML,,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
397337,Editing,Intel,AMD,99,169,46,54,60,65,81,156,366500.0,0
147852,Editing,Intel,,14,105,43,50,139,142,305,153,137500.0,0
218671,Gaming,AMD,,88,167,225,52,57,195,203,75,215300.0,0
34845,Gaming,Intel,,93,18,43,48,177,300,77,287,76280.0,0
78962,General Use,AMD,NVIDIA,325,0,225,51,57,141,305,289,85200.0,0
31151,Editing,,AMD,93,27,43,131,178,300,77,287,89280.0,0
254793,Editing,Intel,,94,167,43,50,59,181,314,76,254500.0,0
77290,General Use,,,327,0,35,243,57,141,78,0,72499.0,0
81172,General Use,AMD,AMD,325,0,225,51,57,180,305,215,86400.0,0
116039,AI-ML,AMD,NVIDIA,326,20,183,50,57,62,305,0,115799.0,0
117583,Gaming,,,2,29,183,243,56,62,77,0,116600.0,0
653357,Editing,,AMD,164,121,40,135,140,146,212,283,651300.0,0
499187,Gaming,Intel,NVIDIA,99,114,46,244,60,146,214,156,465300.0,0
300247,AI-ML,AMD,,91,167,225,244,60,65,204,156,300100.0,0
177072,Gaming,,AMD,88,120,225,52,178,195,313,153,176400.0,0
58500,Gaming,Intel,NVIDIA,93,18,43,48,177,300,77,287,76280.0,0
246857,Editing,AMD,,86,165,225,244,59,181,314,155,230200.0,0
121067,AI-ML,Intel,NVIDIA,14,20,43,50,139,62,306,153,121000.0,0
52959,General Use,Intel,AMD,95,0,43,49,56,300,77,287,58780.0,0
653521,AI-ML,,NVIDIA,99,115,319,135,140,146,303,283,653100.0,0
81532,Gaming,AMD,,160,28,293,48,177,180,77,0,88499.0,0
496756,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
149039,Gaming,Intel,,14,107,43,243,56,142,305,153,149800.0,0
62713,Gaming,,,93,27,43,48,177,300,77,287,80780.0,0
182083,AI-ML,Intel,NVIDIA,14,22,43,50,139,195,78,153,168700.0,0
149002,AI-ML,AMD,,1,120,35,50,57,142,77,0,140999.0,0
82164,Gaming,AMD,NVIDIA,160,20,293,48,177,180,77,0,82499.0,0
296550,Editing,AMD,,91,166,225,244,60,65,148,76,281000.0,0
300175,Editing,AMD,NVIDIA,91,166,225,244,60,65,307,76,281500.0,0
245533,Editing,,NVIDIA,86,165,225,244,59,181,314,155,230200.0,0
82169,Editing,,,11,27,43,131,178,180,77,215,100999.0,0
653548,Editing,Intel,NVIDIA,102,115,128,135,140,146,212,283,652300.0,0
251515,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
297936,AI-ML,Intel,NVIDIA,99,167,43,50,59,65,69,156,297500.0,0
497470,Editing,Intel,,102,167,128,135,262,146,214,156,457800.0,0
149551,AI-ML,,,11,120,43,50,57,142,77,153,150999.0,0
69621,General Use,Intel,AMD,11,0,43,243,178,300,77,72,69499.0,0
122903,AI-ML,Intel,,95,117,43,50,178,62,77,285,130880.0,0
146593,Editing,,AMD,7,28,225,52,139,142,305,153,149900.0,0
175909,Editing,,AMD,88,29,225,53,139,195,313,153,171400.0,0
647245,Gaming,Intel,NVIDIA,102,115,128,54,60,146,302,158,588000.0,0
180826,AI-ML,AMD,,82,169,35,50,139,195,305,0,180500.0,0
29945,Gaming,,,93,18,43,48,177,300,77,287,76280.0,0
175660,General Use,,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
44924,General Use,AMD,,160,0,293,48,56,300,77,0,51499.0,0
295749,Editing,,NVIDIA,10,166,225,244,60,65,148,76,279000.0,0
118415,General Use,AMD,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
56215,General Use,,,160,0,293,49,56,300,77,0,53499.0,0
654608,Editing,Intel,,102,115,128,135,140,146,212,283,652300.0,0
503089,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
395531,General Use,AMD,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
220883,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
250758,AI-ML,AMD,AMD,7,169,225,244,139,181,79,155,226000.0,0
32489,General Use,,AMD,93,0,43,130,136,300,77,287,50280.0,0
64383,Editing,,AMD,95,27,43,131,178,300,77,72,93700.0,0
501888,AI-ML,AMD,NVIDIA,91,114,40,135,60,146,209,156,465300.0,0
296416,Editing,AMD,AMD,91,30,225,244,60,65,148,76,285200.0,0
75984,Editing,Intel,,95,27,43,131,178,141,77,72,95200.0,0
98224,General Use,Intel,,14,0,43,50,139,61,313,73,88700.0,0
80868,Gaming,Intel,AMD,95,28,43,48,177,180,77,215,97500.0,0
64464,Gaming,,AMD,93,27,43,48,177,300,77,72,83700.0,0
218247,AI-ML,AMD,NVIDIA,325,167,225,244,139,195,313,75,212500.0,0
179500,General Use,Intel,,14,0,43,50,139,62,313,73,90200.0,0
496905,AI-ML,,NVIDIA,91,114,40,135,60,146,209,156,465300.0,0
154305,Gaming,Intel,,14,165,43,50,178,195,68,153,160000.0,0
222981,Gaming,AMD,,88,167,225,52,57,195,203,155,216500.0,0
26208,General Use,,,93,0,43,130,136,300,77,287,50280.0,0
652007,Editing,,,92,115,125,135,140,146,212,158,651500.0,0
299479,General Use,AMD,AMD,325,0,225,51,139,62,313,73,92100.0,0
254096,General Use,,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
498324,Gaming,Intel,,99,121,46,244,60,146,214,156,485300.0,0
123988,General Use,AMD,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
495926,Editing,AMD,AMD,164,169,40,135,140,146,303,156,495500.0,0
398273,AI-ML,Intel,AMD,97,33,46,54,60,65,148,156,404500.0,0
298483,AI-ML,Intel,,94,167,46,50,60,65,204,76,298400.0,0
646005,Gaming,,,164,115,40,135,60,146,212,159,644500.0,0
653325,AI-ML,Intel,NVIDIA,99,115,319,135,140,146,303,283,653100.0,0
247830,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
253663,Gaming,,NVIDIA,88,167,225,53,139,181,314,155,230900.0,0
646768,Gaming,Intel,,102,115,128,54,60,146,302,158,588000.0,0
27639,Gaming,AMD,NVIDIA,160,18,293,48,177,300,77,0,72499.0,0
32496,Editing,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
58865,General Use,Intel,NVIDIA,11,0,43,243,56,300,77,287,64079.0,0
28774,Editing,,AMD,93,27,43,131,178,300,77,287,89280.0,0
221444,General Use,AMD,AMD,325,0,225,51,139,62,313,73,92100.0,0
645049,AI-ML,Intel,NVIDIA,99,115,319,135,140,146,212,159,642300.0,0
145148,AI-ML,AMD,NVIDIA,83,20,35,50,139,142,281,0,144800.0,0
32921,General Use,AMD,AMD,160,0,293,130,136,300,77,0,46499.0,0
37672,Editing,,,93,27,43,131,178,300,77,287,89280.0,0
84095,Gaming,,,95,28,43,48,177,180,77,73,97700.0,0
224209,AI-ML,,AMD,325,169,225,244,139,195,313,155,208700.0,0
295952,Gaming,,,91,167,225,244,59,65,149,156,295700.0,0
222353,AI-ML,Intel,NVIDIA,13,167,43,50,139,195,313,76,222000.0,0
102255,AI-ML,AMD,,160,20,293,50,178,62,77,0,94999.0,0
26832,AI-ML,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
249946,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
32519,Editing,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
395209,Gaming,AMD,AMD,91,33,40,244,59,65,81,156,400300.0,0
115491,Editing,AMD,NVIDIA,325,20,225,52,57,62,77,286,126380.0,0
503332,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
153754,AI-ML,,,11,120,43,50,57,195,77,153,151999.0,0
62917,General Use,Intel,,11,0,43,243,178,300,77,287,66579.0,0
84522,General Use,AMD,,325,0,225,51,57,180,305,73,86600.0,0
248442,General Use,Intel,,14,0,43,50,139,62,313,73,90200.0,0
153178,AI-ML,Intel,AMD,11,120,43,50,57,195,77,153,151999.0,0
250460,AI-ML,Intel,NVIDIA,94,167,43,50,59,181,203,155,250100.0,0
68338,Editing,,AMD,95,27,43,131,178,300,77,72,93700.0,0
35281,AI-ML,,AMD,93,117,43,131,178,300,77,287,117280.0,0
650182,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
77775,AI-ML,,AMD,93,117,43,131,178,188,77,289,122300.0,0
79506,Editing,,AMD,160,27,293,131,178,141,77,0,86999.0,0
495489,Editing,,NVIDIA,164,167,40,135,140,146,214,156,495000.0,0
151443,Gaming,AMD,NVIDIA,325,165,225,51,178,195,68,153,161900.0,0
649039,Gaming,AMD,,164,115,40,135,60,146,280,159,648800.0,0
223074,Editing,,NVIDIA,86,107,225,244,59,195,203,155,218800.0,0
502496,Gaming,,NVIDIA,99,114,46,244,60,146,214,156,465300.0,0
653370,Gaming,Intel,NVIDIA,102,115,128,135,60,146,151,158,598000.0,0
104756,AI-ML,AMD,AMD,160,117,293,50,178,62,77,0,119999.0,0
103719,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
56058,AI-ML,,,93,20,43,131,178,300,77,287,92280.0,0
55730,AI-ML,,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
80961,Gaming,Intel,AMD,95,28,43,48,177,180,77,215,97500.0,0
248698,Gaming,,NVIDIA,88,167,225,52,139,181,314,155,227400.0,0
29016,General Use,,,93,0,43,130,136,300,77,287,50280.0,0
299209,Gaming,Intel,AMD,17,169,232,50,139,65,307,154,299200.0,0
304321,Gaming,Intel,NVIDIA,17,167,232,50,139,65,307,154,304200.0,0
116214,AI-ML,Intel,AMD,95,117,43,50,178,62,77,284,130800.0,0
147029,AI-ML,AMD,AMD,1,120,35,50,57,142,77,0,140999.0,0
253713,General Use,AMD,AMD,325,0,225,51,139,62,313,73,92100.0,0
215596,AI-ML,,NVIDIA,325,167,225,244,139,195,68,75,212000.0,0
223515,Editing,Intel,AMD,97,120,43,50,59,195,203,155,202600.0,0
79666,General Use,,NVIDIA,325,0,225,51,57,141,305,289,85200.0,0
223790,Editing,,,86,107,225,244,59,195,203,155,218800.0,0
62771,General Use,,NVIDIA,11,0,43,243,178,300,77,287,66579.0,0
63655,Editing,,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
146547,AI-ML,AMD,AMD,1,120,35,50,57,142,77,0,140999.0,0
502093,AI-ML,,AMD,91,121,40,135,60,146,209,156,485300.0,0
30249,AI-ML,Intel,AMD,93,117,43,131,178,300,77,287,117280.0,0
295680,General Use,Intel,NVIDIA,14,0,43,50,139,62,313,73,90200.0,0
119505,Editing,,AMD,325,116,225,52,57,62,77,285,129780.0,0
184652,Gaming,Intel,,14,166,43,50,178,195,79,153,173100.0,0
652887,Editing,,,92,115,125,135,140,146,212,158,651500.0,0
302175,AI-ML,Intel,NVIDIA,94,167,46,50,60,65,314,156,301500.0,0
500405,Editing,AMD,,164,167,40,135,140,146,150,156,498000.0,0
41461,AI-ML,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
67821,Gaming,,NVIDIA,93,20,43,48,177,300,77,72,86700.0,0
63277,AI-ML,Intel,,93,20,43,131,178,300,77,287,92280.0,0
398818,Gaming,AMD,NVIDIA,92,167,40,135,60,65,330,156,398000.0,0
150812,Gaming,AMD,,325,107,225,51,178,195,68,153,158900.0,0
154240,General Use,AMD,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
96967,AI-ML,,,93,20,43,131,178,61,77,73,99200.0,0
652288,Editing,,NVIDIA,92,115,125,135,140,146,212,158,651500.0,0
295084,General Use,,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
69687,Gaming,Intel,NVIDIA,93,20,43,48,177,300,77,72,86700.0,0
96347,General Use,AMD,AMD,325,0,225,51,139,61,313,73,90600.0,0
63836,Gaming,AMD,,160,27,293,48,177,300,77,0,76999.0,0
41192,Editing,Intel,AMD,93,27,43,131,178,300,77,287,89280.0,0
100921,Gaming,,,11,105,43,49,177,62,77,73,111699.0,0
52871,AI-ML,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
57172,AI-ML,Intel,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
152948,General Use,Intel,,14,0,43,50,139,62,313,73,90200.0,0
55182,General Use,Intel,,95,0,43,49,56,300,77,287,58780.0,0
180457,AI-ML,AMD,AMD,82,169,35,50,139,195,78,0,180200.0,0
122893,General Use,,NVIDIA,325,0,225,51,139,62,313,73,92100.0,0
117680,AI-ML,Intel,NVIDIA,14,20,43,50,57,62,77,285,117380.0,0
97462,AI-ML,AMD,AMD,160,117,293,131,178,61,77,0,116499.0,0
60708,AI-ML,AMD,AMD,160,117,293,131,178,300,77,0,113499.0,0
500869,Editing,Intel,NVIDIA,102,167,128,135,262,146,214,156,457800.0,0
103063,AI-ML,AMD,,160,20,293,50,178,62,77,0,94999.0,0
495587,AI-ML,,NVIDIA,91,114,40,135,60,146,209,156,465300.0,0
253116,Gaming,AMD,,88,167,225,53,139,181,314,155,230900.0,0
498841,Gaming,Intel,,99,121,46,244,60,146,214,156,485300.0,0
123062,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
82351,Editing,AMD,AMD,1,27,293,131,178,180,77,0,89999.0,0
653088,Editing,Intel,NVIDIA,102,115,128,135,140,146,212,283,652300.0,0
246036,General Use,Intel,AMD,14,0,43,50,139,62,313,73,90200.0,0
42539,Editing,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
26578,Gaming,AMD,,160,18,293,48,177,300,77,0,72499.0,0
69171,General Use,Intel,NVIDIA,11,0,43,243,178,300,77,72,69499.0,0
247164,Editing,AMD,NVIDIA,86,165,225,244,59,181,314,155,230200.0,0
96065,Editing,AMD,NVIDIA,2,20,293,131,178,61,77,0,97000.0,0
399441,Gaming,AMD,AMD,91,33,40,244,59,65,81,156,400300.0,0
80866,Editing,AMD,NVIDIA,1,20,293,131,178,180,77,0,92999.0,0
497130,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
54014,AI-ML,,NVIDIA,93,20,43,131,178,300,77,287,92280.0,0
175877,General Use,AMD,AMD,325,0,225,51,139,62,313,73,92100.0,0
50518,Gaming,Intel,,93,18,43,48,177,300,77,287,76280.0,0
299170,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
97433,Editing,,,2,27,293,131,178,61,77,0,94000.0,0
44389,General Use,Intel,NVIDIA,93,0,43,48,56,300,77,287,55280.0,0
66642,Gaming,Intel,,93,27,43,48,177,300,77,72,83700.0,0
252151,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
504082,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
118042,General Use,AMD,,325,0,225,51,139,62,313,73,92100.0,0
248166,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
247020,General Use,,,325,0,225,51,139,62,313,73,92100.0,0
68037,Editing,AMD,NVIDIA,160,20,293,131,178,300,77,0,88499.0,0
118912,AI-ML,,NVIDIA,14,20,43,50,57,62,78,153,118700.0,0
40245,General Use,Intel,,93,0,43,48,177,300,77,287,53780.0,0
178549,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
54254,Gaming,Intel,,93,18,43,48,177,300,77,287,76280.0,0
249160,AI-ML,,NVIDIA,7,167,225,244,139,181,79,155,231000.0,0
404471,General Use,,AMD,325,0,225,51,139,62,313,73,92100.0,0
647704,Gaming,,AMD,164,121,40,135,140,146,211,283,646300.0,0
